RF_DOC_ID,RF_DOC_CD,RFED_ACTG_LN_NO,ACTG_LN_DSCR
74,PO,1,"""COVER MANHOLE MARKED SANITARY SEWER 32"""" STANDARD"
75,PO,1,"""Cover MANHOLE MARKED WATER 32"""" STANDARD"""
76,CT,1,"""COVER METER HDPE RETROFIT AMR/AMI DOUBLE 3/4"""" - "
77,PO,1,"""COVER METER HDPE RETROFIT AMR/AMI DOUBLE 3/4"""" - "
78,CT,1,"""COVER METER HDPE RETROFIT AMR/AMI SINGLE 3/4"""" - "
79,PO,1,"""COVER METER HDPE RETROFIT AMR/AMI SINGLE 3/4"""" - "
80,DO,1,"""COVER SEWER CLEANOUT PVC 4"""""""
81,PO,1,"""COVER SEWER CLEANOUT PVC 4"""""""
82,DO,1,"""COVER SEWER CLEANOUT PVC 6"""""""
83,PO,1,"""COVER SEWER CLEANOUT PVC 6"""""""
84,DO,1,"""CUTTER PIPE 3/4"""" X 2 IN 4 WHEEL"""
85,PO,1,"""CUTTER PIPE 3/4"""" X 2 IN 4 WHEEL"""
86,DO,1,"""Cutter PVC Ratcheting 1/2"""" TO 2"""" Pipe"""
87,PO,1,"""Cutter PVC Ratcheting 1/2"""" TO 2"""" Pipe"""
88,DO,1,"""CUTTER TUBING MIDGET 1/4""""-1-1/8"""""""
89,PO,1,"""CUTTER TUBING MIDGET 1/4""""-1-1/8"""""""
90,DO,1,"""Dermiform Knit Tape   J & J # 5181   Hypo-Allerge"
91,PO,1,"""Dermiform Knit Tape   J & J # 5181   Hypo-Allerge"
92,PO,1,"""FLATWARE STAINLESS 3 DOZ/CTN """"WINDSOR PATTERN"""""""
93,CT,1,"""FRAME FOR DUST MOP 24"""" X 5"""""""
94,PO,1,"""FRAME FOR DUST MOP 24"""" X 5"""""""
95,DOM,1,"""FUSE TUBE 7.2 KV 100 AMP"""""""
96,PO,1,"""GASKET COPPER 1"""""""
97,PO,1,"""GASKET COPPER 1-1/2"""""""
98,PO,1,"""GASKET COPPER 2"""""""
99,PO,1,"""GLOVES RUBBER 20000 V 18"""" SIZE 08"""
100,CT,1,"""GLOVES WORK RBR NEOPRENE COATED 14""""LONG GAUNTLET"
101,DO,1,"""GLOVES WORK RBR NEOPRENE COATED 14""""LONG GAUNTLET"
102,PO,1,"""GLOVES WORK RBR NEOPRENE COATED 14""""LONG GAUNTLET"
103,DO,1,"""HAND CLEANER WATERLES PUMICE 10-1/2""""x12-1/4"""" AB"
104,PO,1,"""HAND CLEANER WATERLES PUMICE 10-1/2""""x12-1/4"""" AB"
105,CT,1,"""HANDLE FOR DUST MOP 24"""" X 5"""""""
106,DO,1,"""HEADBAND TERRYCLOTH WHITE ELASTIC W/3/4""""LETTERS "
107,PO,1,"""HEADBAND TERRYCLOTH WHITE ELASTIC W/3/4""""LETTERS "
108,CT,1,"""HOSE AIR RUBBER 3/4""""X50' 2 PLY W/O FITTING 200 P"
109,DO,1,"""HOSE AIR RUBBER 3/4""""X50' 2 PLY W/O FITTING 200 P"
110,PO,1,"""HOSE AIR RUBBER 3/4""""X50' 2 PLY W/O FITTING 200 P"
111,DO,1,"""HYD PART 5 1/4 """" CLOW 2500 EXTENSION 12"""""""
112,PO,1,"""HYD PART 5 1/4 """" CLOW 2500 EXTENSION 12"""""""
113,DO,1,"""HYD PART 5 1/4 """" CLOW 2500 EXTENSION 6 """""""
114,PO,1,"""HYD PART 5 1/4 """" CLOW 2500 EXTENSION 6 """""""
115,DO,1,"""HYD PART MUELLER CENTURION 5-1/4"""" O-RING BOTTOM "
116,PO,1,"""HYD PART MUELLER CENTURION 5-1/4"""" O-RING BOTTOM "
117,DO,1,"""HYD PART MUELLER CENTURION 5-1/4"""" O-RING TOP SEA"
118,PO,1,"""HYD PART MUELLER CENTURION 5-1/4"""" O-RING TOP SEA"
119,DO,1,"""HYD PART MUELLER CENTURION 5-1/4"""" SEAT RING #A-4"
120,PO,1,"""HYD PART MUELLER CENTURION 5-1/4"""" SEAT RING"""
121,PO,1,"""HYDR PART  U.S. PIPE METROPOLITAN 250 5 1/4 PUMPE"
122,CT,1,"""HYDR PART AMERICAN DARLING B84B NOSE NOZZLE 2-1/2"
123,DO,1,"""HYDR PART AMERICAN DARLING B84B NOSE NOZZLE 2-1/2"
124,PO,1,"""HYDR PART AMERICAN DARLING B84B NOSE NOZZLE 2-1/2"
125,CT,1,"""HYDR PART AMERICAN DARLING B84B PUMPER NOZZLE 4"""""
126,DO,1,"""HYDR PART AMERICAN DARLING B84B PUMPER NOZZLE 4"""""
127,PO,1,"""HYDR PART AMERICAN DARLING B84B PUMPER NOZZLE 4"""""
128,PO,1,"""HYDRANT PART 5 1/4 M & H 129 EXTENSION KIT 6"""""""
129,DO,1,"""HYDRANT PART 5 1/4 M & H 929 EXTENSION 12"""""""
130,DO,1,"""HYDRANT PART 5 1/4 M & H 929 EXTENSION 18"""""""
131,PO,1,"""HYDRANT PART 5 1/4 M & H 929 EXTENSION 18"""""""
132,PO,1,"""HYDRANT PART 5 1/4 M & H 929 EXTENSION 6"""""""
133,DO,1,"""HYDRANT PART 5 1/4 M & H 929 HOSE NOZZLE 2 1/2"""""""
134,DO,1,"""HYDRANT PART 5 1/4 M & H 929 PUMPER NOZZLE 4"""""""
135,DO,1,"""HYDRANT PART 5-1/4"""" M&H 929 EXTENSION 24"""""""
136,DO,1,"""HYDRANT PART AMERICAN AVK CO 2780 5 1/4 EXT. 12"""""
137,PO,1,"""HYDRANT PART AMERICAN AVK CO 2780 5 1/4 EXT. 12"""""
138,DO,1,"""HYDRANT PART AMERICAN AVK CO 2780 5 1/4 EXT. 18"""""
139,DO,1,"""HYDRANT PART AMERICAN AVK CO 2780 5 1/4 EXT. 24"""""
140,DO,1,"""HYDRANT PART AMERICAN AVK CO 2780 5 1/4 EXT. 6"""""""
141,PO,1,"""HYDRANT PART CLOW 2500 5-1/4"""" UPPER BARREL"""
142,CT,1,"""HYDRANT PART CLOW MEDALLION 5-1/4"""" UPPER BARREL"""
143,PO,1,"""HYDRANT PART CLOW MEDALLION 5-1/4"""" UPPER BARREL"""
144,PO,1,"""Hydrant Part Diffuser 2-1/2"""" W/Brass Gland"""
145,DO,1,"""HYDRANT PART EDDY 5 1/4 EXTENSION KIT 12"""" SIZE"""
146,DO,1,"""Hydrant Part EJ Operating Stem Top 24 -1/4""""  Ste"
147,CT,1,"""HYDRANT PART M & H 129 5-1/4"""" UPPER BARREL"""
148,DO,1,"""HYDRANT PART M & H 129 5-1/4"""" UPPER BARREL"""
149,PO,1,"""HYDRANT PART M & H 129 5-1/4"""" UPPER BARREL"""
150,DO,1,"""HYDRANT PART M&H 129 5 1/4 EXTENSION KIT 12"""" SIZ"
151,PO,1,"""HYDRANT PART M&H 129 5 1/4 EXTENSION KIT 12"""" SIZ"
152,DO,1,"""HYDRANT PART M&H 129 5 1/4 HOSE NOZZLE 2 1/2"""""""
153,DO,1,"""HYDRANT PART MUELLER 5-1/4"""" MAIN VALVE RUBBER"""
154,PO,1,"""HYDRANT PART MUELLER 5-1/4"""" MAIN VALVE RUBBER"""
155,DO,1,"""Knives Putty Flexible High Carbon Steel Blade Wid"
156,PO,1,"""Knives Putty Flexible High Carbon Steel Blade Wid"
157,DO,1,"""LIFTER MANHOLE COVER 36""""OVERSIZE D HANDLE FORGED"
158,PO,1,"""LIFTER MANHOLE COVER 36""""OVERSIZE D HANDLE FORGED"
159,PO,1,"""LUBMER PLYWOOD MDO 3/4""""- 4 X 8 FT PRIMED WHITE B"
160,DO,1,"""MACHETE HEAVY DUTY 22"""""""
161,PO,1,"""MACHETE HEAVY DUTY 22"""""""
162,DO,1,"""MAP WALL AUSTIN & VICINITY W/GRID/ZIPCODE 5 COLOR"
163,CT,1,"""METER COLD WATER COMPOUND 3"""""""
164,DO,1,"""METER COLD WATER COMPOUND 3"""""""
165,DO,1,"""METER COLD WATER COMPOUND 4"""""""
166,DO,1,"""METER COLD WATER COMPOUND 6"""""""
167,DO,1,"""METER WATER RING GASKET 150 PSI 1/8"""" THICK CLOTH"
168,PO,1,"""METER WATER RING GASKET 150 PSI 1/8"""" THICK CLOTH"
169,DO,1,"""METERS  WATER TURBINE RECLAIMED 3"""""""
170,DO,1,"""METERS COLD WATER 1 1/2"""" FOR RECLAIMED WATER"""
171,PO,1,"""METERS COLD WATER 1"""" FOR RECLAIMED WATER"""
172,DO,1,"""METERS COLD WATER 2"""" TURBINE FOR RECLAIMED WATER"
173,PO,1,"""METERS COLD WATER 2"""" TURBINE FOR RECLAIMED WATER"
174,DO,1,"""METERS COLD WATER 3/4"""" FOR RECLAIMED WATER"""
175,PO,1,"""METERS COLD WATER 3/4"""" FOR RECLAIMED WATER"""
176,DO,1,"""METERS COLD WATER 4"""" TURBINE FOR RECLAIMED WATER"
177,DO,1,"""METERS COLD WATER 6"""" TURBINE FOR RECLAIMED WATER"
178,DO,1,"""METERS COLD WATER 8"""" TURBINE FOR RECLAIMED WATER"
179,CT,1,"""MOP HEAD DUST COTTON WASHABLE 24"""" X 5"""""""
180,DO,1,"""MOP HEAD DUST COTTON WASHABLE 24"""" X 5"""""""
181,PO,1,"""MOP HEAD DUST COTTON WASHABLE 24"""" X 5"""""""
182,DO,1,"""MOP HEAD DUST COTTON WASHABLE 36"""" X 5"""""""
183,PO,1,"""MOP HEAD DUST COTTON WASHABLE 36"""" X 5"""""""
184,DO,1,"""MOWER LAWN W/B&S ENGINE 22"""" CUT ROTARY"""
185,DO,1,"""N003     14ga. X 1 ?"""" PROTECTIV? PLUS Safety Cat"
186,CT,1,"""N003.1 ADVANTIV SAFETY I.V CATHETER SIZE:14G X 1 "
187,DO,1,"""N004     14g x 2"""" Safety I.V. Catheter   Safety "
188,CT,1,"""N004.2 ADVANTIV SAFTEY I.V CATHETER. SIZE: 14G X "
189,DO,1,"""N005     16ga. X 1 ?"""" PROTECTIV? PLUS Safety Cat"
190,PO,1,"""N005     16ga. X 1 ?"""" PROTECTIV? PLUS Safety Cat"
191,DO,1,"""N005 16ga. X 1.25"""" PROTECTIV PLUS Safety Cathete"
192,CT,1,"""N005.1 ADVANTIV SAFETY I.V CATHETER SIZE: 16G X 1"
193,DO,1,"""N006     16g x 2"""" Safety I.V. Catheter   Safety "
194,CT,1,"""N006.1 ADVANTIV SAFETY I.V CATHETER. SIZE: 16G X "
195,DO,1,"""N007     18ga. X 1 ?"""" PROTECTIV? PLUS Safety Cat"
196,DO,1,"""N007 18ga. X 1.25"""" PROTECTIV PLUS Safety Cathete"
197,CT,1,"""N007.1 ADVANTIV SAFETY I.V CATHETER SIZE: 18G X 1"
198,DO,1,"""N008     18g x 2"""" Safety I.V. Catheter   Safety "
199,PO,1,"""N008     18g x 2"""" Safety I.V. Catheter   Safety "
200,CT,1,"""N008.1 ADVANTIV SAFETY I.V CATHETER. SIZE:18G X 1"
201,DO,1,"""N009     20ga. X 1 ?"""" PROTECTIV? PLUS Safety Cat"
202,DO,1,"""N009 20ga. X 1.25"""" PROTECTIV PLUS Safety Cathete"
203,CT,1,"""N009.1 ADVANTIV SAFETY I.V CATHETER SIZE: 20G X 1"
204,DO,1,"""N010     22ga. X 1"""" PROTECTIV? PLUS Safety Cathe"
205,DO,1,"""N010 22ga. X 1"""" PROTECTIV PLUS Safety Catheter  "
206,CT,1,"""N010.1 ADVANTIV SAFETY I.V CATHETER SIZE: 22G X 1"
207,CT,1,"""N011.1 ADVANTIV SAFETY I.V CATHETER SIZE: 24G X 5"
208,PO,1,"""OINTMENT TRIPLEANTIBIOTIC 10 PER PK"""" OZ TUBE FAS"
209,DO,1,"""PAD STERILE 3"""" X 3"""""""
210,DO,1,"""PAINT SPRAYON ALUM 13 4OZ JCAN"""""""
211,PO,1,"""PAPER ABRASIVE WET # 320 GRIT"""""""
212,PO,1,"""PAPER ABRASIVE WET #280 GRIT"""""""
213,DO,1,"""PAPER TOWEL ENMOTION WHITE 8"""" X 800 FT"""
214,PO,1,"""PAPER TOWEL ENMOTION WHITE 8"""" X 800 FT"""
215,PO,1,"""PAPER XEROGRAPHIC 11""""X 17"""" WHITE 20#"""
216,DO,1,"""PATCH """"AUSTIN POLICE"""" TAG NAVY AND GRAY"""
217,DO,1,"""PATCH """"AUSTIN POLICE"""" TAG SUBDUED GREEN"""
218,PO,1,"""PATCH """"CITY OF AUSTIN"""" 3"""" FOR CAP"""
219,DO,1,"""PATCH """"CITY OF AUSTIN"""""""
220,DO,1,"""PATCH ANIMAL CONTROL 3"""" FOR CAP"""
221,CT,1,"""Pedestrian Signs R10-3e 9""""x15"""" Double Sided Sig"
222,PO,1,"""Pedestrian Signs R10-3e 9""""x15"""" Double Sided Sig"
223,DO,1,"""POLES TRAFFIC SIGNAL STEEL STRAIN 20"""" BHC"""
224,DO,1,"""RAINCOAT PVC/POLY W/DETACHABLE HOOD 48"""" 2XLRG"""
225,DOM,1,"""RAINCOAT PVC/POLY W/DETACHABLE HOOD 48"""" 2XLRG"""
226,DO,1,"""RAINCOAT PVC/POLY W/DETACHABLE HOOD 48"""" 3XLRG"""
227,DOM,1,"""RAINCOAT PVC/POLY W/DETACHABLE HOOD 48"""" 3XLRG"""
228,PO,1,"""RAINCOAT PVC/POLY W/DETACHABLE HOOD 48"""" 5xLrg"""
229,DO,1,"""RAINCOAT PVC/POLY W/DETACHABLE HOOD 48"""" LARGE"""
230,DO,1,"""RAINCOAT PVC/POLY W/DETACHABLE HOOD 48"""" XLRG"""
231,DOM,1,"""RAINCOAT PVC/POLY W/DETACHABLE HOOD 48"""" XLRG"""
232,DO,1,"""REFILLS FIRST AID KIT OUTDOOR TOWELETTE """"IVY X"""""
233,PO,1,"""REFILLS FIRST AID KIT OUTDOOR TOWELETTE """"IVY X"""""
234,DO,1,"""REFILLS FIRST AID KIT OUTDOOR TOWELETTE """"SUN X"""""
235,PO,1,"""REFILLS FIRST AID KIT OUTDOOR TOWELETTE """"SUN X"""""
236,DO,1,"""REFILLS FIRST AID KIT OUTDOOR TOWELETTES """"BUG X"""
237,PO,1,"""REFILLS FIRST AID KIT OUTDOOR TOWELETTES """"BUG X"""
238,DO,1,"""REFILLS FIRST AID KIT OUTDOOR TOWELETTES """"BURN J"
239,PO,1,"""REFILLS FIRST AID KIT OUTDOOR TOWELETTES """"BURN J"
240,DO,1,"""REFILLS FIRST AID KIT OUTDOOR TOWELETTES """"IVY X"""
241,PO,1,"""REFILLS FIRST AID KIT OUTDOOR TOWELETTES """"IVY X"""
242,DO,1,"""REFILLS FIRST AID KIT OUTDOOR TOWELETTES """"STING "
243,DO,1,"""REFILLS FIRST AID KIT OUTDOOR TOWELETTES """"SUN X"""
244,CT,1,"""Restraint Pipe For PVC/D.I. Bell Joints 6"""""""
245,CT,1,"""Restraint Pipe For PVC/D.I. Bell Joints 8"""""""
246,PO,1,"""Restraint Pipe For PVC/D.I. Bell Joints 8"""""""
247,CT,1,"""RING & COVER MANHOLE 24"""" DIA SANITARY SEWER"""
248,DO,1,"""RING & COVER MANHOLE 24"""" DIA SANITARY SEWER"""
249,PO,1,"""RING & COVER MANHOLE 24"""" DIA SANITARY SEWER"""
250,DO,1,"""RING & COVER MANHOLE 32"""" DIA BOLTED TY MARKED SA"
251,PO,1,"""RING & COVER MANHOLE 32"""" DIA BOLTED TY MARKED SA"
252,PO,1,"""RING & COVER MANHOLE CI. 32"""" LOW PROFILE TYPE MA"
253,DO,1,"""RING MANHOLE 32"""" DIA STANDARD"""
254,PO,1,"""RING MANHOLE 32"""" DIA STANDARD"""
255,DO,1,"""ROD SEWER FLAT STEEL 1"""" X 1/8 100 FT"""
256,PO,1,"""ROD SEWER FLAT STEEL 1"""" X 1/8 100 FT"""
257,PO,1,"""SANDPAPER MEDIUM"""""""
258,DO,1,"""SAW PVC BLADE LENGTHS 12"""" & 18"""" 10 TEETH POINT/"
259,PO,1,"""SAW PVC BLADE LENGTHS 12"""" & 18"""" 10 TEETH POINT/"
260,DO,1,"""SET NUT DRIVER 3/16"""" - 1/2"""""""
261,PO,1,"""SET NUT DRIVER 3/16"""" - 1/2"""""""
262,PO,1,"""SHEARS LOPPING W/24"""" HANDLES MODEL #5262"""
263,PO,1,"""Socket Impact Size 15/16"""" Drive Size 1/2"""" 6 Poi"
264,DO,1,"""Stethoscope Proscope 670 Multiple colors rotating"
265,PO,1,"""Stethoscope Proscope 670 Multiple colors rotating"
266,DO,1,"""STRAPS TIE DOWN RATCHET W/ """"U"""" HOOK"""
267,PO,1,"""STRAPS TIE DOWN RATCHET W/ """"U"""" HOOK"""
268,CT,1,"""TAPE MEASURING STL 1"""" 25FT POWER RETURN 922-25 8"
269,DO,1,"""TAPE MEASURING STL 1"""" 25FT POWER RETURN 922-25 8"
270,PO,1,"""TAPE MEASURING STL 1"""" 25FT POWER RETURN 922-25 8"
271,DO,1,"""TOWEL COOLING CHILLY PAD 33""""X13"""" BLUE"""
272,PO,1,"""TOWEL COOLING CHILLY PAD 33""""X13"""" BLUE"""
273,PO,1,"""TRANSMITTER PRESSURE 0-500 P/N AL-ROPM-C209-500"""""
274,DO,1,"""Triangular Bandage  Non sterile  40"""" X 40"""" X 56"
275,PO,1,"""Triangular Bandage  Non sterile  40"""" X 40"""" X 56"
276,PO,1,"""TUBING HEAT SHRINK 1/2 IN X 4 FT"""""""
277,DO,1,"""Utility Knife Flip 5"""" Red (Milwaukee)"""
278,PO,1,"""Utility Knife Flip 5"""" Red (Milwaukee)"""
279,CT,1,"""VALVE AIR RELEASE AIR VACUUM FOR WASTEWATER AUTOM"
280,PO,1,"""VALVE AIR RELEASE AIR VACUUM FOR WASTEWATER AUTOM"
281,DO,1,"""VALVE GATE CI MECH JT RESILIENT-SEATED 20"""""""
282,DO,1,"""VALVE GATE CI MECH JT RESILIENT-SEATED 24"""""""
283,DO,1,"""VALVE GATE DI MECH JT RESILIENT-SEATED 20"""""""
284,DO,1,"""VALVE PART OPERATING NUT AMERICAN DARLING 4""""-12"""
285,PO,1,"""VALVE PART OPERATING NUT AMERICAN DARLING 4""""-12"""
286,PO,1,"""VALVE PVC AIR RELEASE COMBO 1"""" PRPL RECLMD WTR #"
287,PO,1,"""VALVE PVC AIR RELEASE COMBO 2"""" PRPL RECLMD WTR #"
288,DO,1,"""Vaseline Petrolatum Gauze  Kendal # 8884414600. 3"
289,PO,1,"""Vaseline Petrolatum Gauze  Kendal # 8884414600. 3"
290,DO,1,"""WASHER METER RUBBER 1""""  I.D.INSIDE DIA.X1-1/2""""O"
291,DO,1,"""WASHER RUBBER 3/4"""" X 1/16"""" THICK"""
292,PO,1,"""WASHER RUBBER 3/4"""" X 1/16"""" THICK"""
293,DO,1,"""WASHERS FLAT SAE ZINC PLATED 3/4"""""""
294,PO,1,"""WASHERS FLAT SAE ZINC PLATED 3/4"""""""
295,DO,1,"""WASHERS FLAT SAE ZINC PLATED 5/8"""""""
296,PO,1,"""WASHERS FLAT SAE ZINC PLATED 5/8"""""""
297,DO,1,"""WRENCH METER NUT 1/2"""" STEEL PLATE 1-5/8"""" SIZE"""
298,PO,1,"""WRENCH METER NUT 1/2"""" STEEL PLATE 1-5/8"""" SIZE"""
299,DO,1,"""WRENCH METER NUT 1/2"""" STEEL PLATE 1-7/8"""" SIZE"""
300,PO,1,"""WRENCH METER NUT 1/2"""" STEEL PLATE 1-7/8"""" SIZE"""
301,DO,1,"""WRENCH RATCHET BOX 12 POINT 1 1/16"""" X 1 1/4"""""""
302,PO,1,"""WRENCH RATCHET BOX 12 POINT 1 1/16"""" X 1 1/4"""""""
303,DO,1,"""WRENCHE RATCHET BOX 12 POINT 1 1/8 """" X 1 1/4"""""""
304,PO,1,"""WRENCHE RATCHET BOX 12 POINT 1 1/8 """" X 1 1/4"""""""
305,DO,1,"""X005  Shoulder Straps 79""""  Black.  DICK MEDICAL1"
306,PO,1,"""X005  Shoulder Straps 79""""  Black.  DICK MEDICAL1"
307,DO,1,"""X006   Lap strap 74"""" .Black  DICK MEDICAL 111163"
308,PO,1,"""X006   Lap strap 74"""" .Black  DICK MEDICAL 111163"
309,CT,1,"0.4% Lidocaine D5W 250ml  Hospira (Abbott Labs) # "
310,PO,1,"0.4% Lidocaine D5W 250ml  Hospira (Abbott Labs) # "
311,CT,1,0.9% Sodium Chloride 1000ml  Hospira (Abbott Labs)
312,DO,1,0.9% Sodium Chloride 1000ml  Hospira (Abbott Labs)
313,PO,1,0.9% Sodium Chloride 1000ml  Hospira (Abbott Labs)
314,CT,1,"0.9% Sodium Chloride 250ml  Hospira (Abbott Labs) "
315,DO,1,"0.9% Sodium Chloride 250ml  Hospira (Abbott Labs) "
316,PO,1,"0.9% Sodium Chloride 250ml  Hospira (Abbott Labs) "
317,DO,1,0.9% Sodium Chloride 50ml  Hospira (Abbott Labs) #
318,PO,1,0.9% Sodium Chloride 50ml  Hospira (Abbott Labs) #
319,PO,1,1/2 DERMIFORM
320,PO,1,100 Amp Breaker Panel
321,CT,1,102.4 3-SET O2-RESQ SYSTEM INCLUDES ADULT-MED.SIZE
322,DO,1,102.4 3-SET O2-RESQ SYSTEM INCLUDES ADULT-MED.SIZE
323,DO,1,10G166 WHEEL BARROW PROFESSIONAL 5 CU FT CAPACITY
324,DO,1,"12 inch GPL Louver w/Slotted Full Circle Visor w/ "
325,PO,1,"12 inch GPL Louver w/Slotted Full Circle Visor w/ "
326,DO,1,12 inch Tunnel Visor w/Universal Clips
327,PO,1,12 inch Tunnel Visor w/Universal Clips
328,DO,1,120 AC Color VIVIDS Camera
