VEND_ID,LGL_NM,VEND_CUST_CD
61,Abayomi Olusegun Adekoya,V00000907063
62,ABB INC,ABB6010930
63,ABBOTT-IPCO INC,ABB0012000
64,ABC BLIND & DRAPERY CO,VS0000002666
65,ABC HOTEL & RESTAURANT SUPPLY INC,ABC0014300
66,ABC Office Products Inc,VS0000025489
67,ABC Specialties LLC,V00000922523
68,ABE OELTJEN,BRI8318603
69,ABERCROMBIE GEMS &  PRECIOUS METALS,ABE8319270
70,ABR INDUSTRIES LLC,VS0000033269
71,Absolute Innovations Inc,V00000917308
72,ABSOLUTE STANDARDS INC,ABS6047585
73,ACADEMIC SUPERSTORE,ACA8314202
74,ACADEMY SPORTS & OUTDOORS,ACA0024250
75,ACCELA INC,ACC8301307
76,ACCENT FOOD SERVICES,ACC7105050
77,ACCENT FOOD SERVICES LLC,VC0000102760
78,ACCENT PROMOTIONS OF TEXAS,ACC7135815
79,ACCESS SCIENCES CORPORATION,ACC8303070
80,ACCESS SYSTEM,ACC8306383
81,Accredited Lock & Door Hardware Co.,V00000905036
82,ACCURATE FORMS & SUPPLIES,ACC8313848
83,ACCURATE LAB SUPPLIES,ACC8322002
84,ACCU-TECH CORP,ACC7066685
85,ACE 1 POWER EQUIPMENT,VC0000100737
86,ACE CONTRACTORS' SUPPLY INC,ACE7163805
87,ACE FIRE EQUIPMENT CO INC,ACE0034500
88,ACE FLOOR SOLUTIONS LLC,VS0000017844
89,ACE MART RESTAURANT SUPPLY CO,ACE0035500
90,ACES A/C SUPPLY INC,ACE0037000
91,ACETYLENE OXYGEN COMPANY,VS0000010351
92,ACFM Inc.,VS0000010661
93,ACL SERVICES LTD,ACL7104250
94,ACM BODY & FRAME INC,ACM8300211
95,ACOM SOLUTIONS INC,ACO8321211
96,ACP INTERNATIONAL INC,ACT8303164
97,ACRATOD OF AUSTIN INC,ACR0044750
98,ACROPRINT TIME RECORDER CO,ACR7100580
99,ACS DATALINE L P,ACS8302824
100,Act Fast Delivery of Travis County Inc.,V00000942128
101,ACT PIPE & SUPPLY INC,ACT7090725
102,ACT PIPE & SUPPLY LTD,ACT8316316
103,ActiGraph LLC,V00000962802
104,Action Communications Inc.,V00000951901
105,Action Lift Inc.,VS0000004120
106,ACTION SCREEN GRAPHICS,ACT7030180
107,Action Screen Graphics LLC,V00000906511
108,Action Sporting Goods Inc.,VS0000006636
109,ACTION STAINLESS & ALLOYS INC,ACT0050250
110,ACTION TARGET INC,ACT7082105
111,Active Campus LLC,V00000933470
112,ACUITY SPECIALTY PRODUCTS INC,ZEP8310104
113,Acumen Enterprises Inc,VS0000035561
114,ACUSHNET COMPANY,TIT7068305
115,ACUSHNET COMPANY,VC0000100189
116,AD Acquisitions LLC,V00000962736
117,Ad Clarity LLC,V00000905270
118,AD MANUFACTURING CORP,ADM7161830
119,Adam L Waring,V00000931856
120,ADAM NEAL,RER8323212
121,ADAMS WHOLESALE SUPPLY INC,ADA8307500
122,AdamsQB Inc.,V00000938405
123,ADAPT CONSULTING INC,ADA7101905
124,Adaptive Micro Systems LLC,V00000961373
125,ADB AIRFIELD SOLUTIONS LLC,VC0000102674
126,ADCO ADVERTISING INC,ADC0057250
127,ADCO ADVERTISING SPECIALTIES INC.,ADC8322964
128,ADCO DECAL & SIGN CO INC,ADC8318705
129,Addy Miro,V00000909471
130,ADI ENGINEERING INC,ADI8311226
131,Adolph Ortiz,V00000906414
132,ADORAMA CAMERA INC,ADO8306301
133,ADRIAN QUESADA,VS0000020813
134,ADS LLC,AME0187000
135,ADS LLC,VC0000102812
136,ADT SECURITY SVCS INC,ADT7137515
137,ADVA Optical Networking North America Inc.,V00000931945
138,ADVANCE BATTERY CO INC,ADV0067000
139,ADVANCE LANDSCAPE DESIGNS INC,ADV7008080
140,Advance Property eXposure Canada Inc.,V00000939235
141,Advance Safety Equipment Co.,V00000908341
142,ADVANCE STORES COMPANY INC,ADV8319768
143,ADVANCED BATTERY SYSTEMS,ADV8302073
144,ADVANCED CUTTING SYSTEMS INC,ADV8321439
145,Advanced Drainage Systems Inc.,V00000958244
146,ADVANCED EDUCATIONAL PRODUCTS INC,ADV8319785
147,Advanced Electrical and Motor Controls INC.,V00000938194
148,ADVANCED FILTRATION SYSTEMS LP,ADV7132900
149,ADVANCED IMAGING SYSTEMS,ADV8322187
150,Advanced Lock Solutions Inc.,VS0000020394
151,ADVANCED MECHANICAL SYSTEMS INC,ADV7006930
152,ADVANCED ORGANIC MATERIALS,ADV8305198
153,ADVANCED PROCESS,ADV7152775
154,ADVANCED SERVICE AND PARTS LLC,VS0000012473
155,Advanced Technology International,V00000920525
156,Advanced Traffic Solutions LLC,VS0000033520
157,ADVANCED WIRELESS SOLUTIONS,ADV8309626
158,Advantage Blinds Inc.,VS0000023166
159,ADVANTAGE SIGN SUPPLY,ADV8314435
160,ADVANTAGE SUPPLY,ADV7053570
161,Advantage Traffic & Safety Supply LLC,V00000915158
162,ADVENTURE ALLIANCE LLC,VC0000103173
163,AdVnt Biotechnologies LLC,VS0000028320
164,Ad-Wear & Specialty of Texas Inc.,VS0000030296
165,AEGIS FITNESS SOLUTIONS L L C,AEG8322465
166,AER SUPPLY LTD,AER8315910
167,AERO Specialties Inc.,V00000926772
168,AeroBrigham,V00000946124
169,AETCO Inc.,VS0000032084
170,AFC INTERNATIONAL INC,VS0000002124
171,AFFILIATED COMMUNICATIONS INC,AFF8314060
172,AFFORDABLE EQUIPMENT,AFF8311490
173,Affordable Funeral Supply LLC,V00000958400
174,Affordable Portable Structures Inc.,VS0000002164
175,AFGHAN NURSERY,AFG7150075
176,AFMA INC,AUS0398750
177,AFRICAN IMPORTS INC,VS0000017033
178,AGATI INC,AGA8310203
179,AGH2O HOLDINGS L L C,AGH8322703
180,AGH2O HOLDINGS LLC,VC0000103404
181,AGILEASSETS INC,AGI8315170
182,AgileBits Inc,V00000956180
183,AgileMesh Inc.,VS0000026099
184,AGILENT TECHNOLOGIES INC,AGI7147955
185,AGILITY PRINTING LLC,VC0000103154
186,AGM Container Controls Inc.,V00000955611
187,AGM ELECTRONICS INC,AGM0084000
188,AGS Associates LLC,V00000940814
189,AGSA LLC,V00000956243
190,AGSI LLC,V00000937327
191,AHEAD INC,AHE7125885
192,AIA Industries Inc.,V00000939021
193,AIDS SERVICES OF AUSTIN INC,AID0089750
194,AIMEE BOBRUK,VC0000102624
195,AIR & VACUUM PROCESS INC,AIR8315229
196,Air Chuck Inc,V00000963013
197,Air Cleaning Solutions LLC,VS0000022810
198,AIR CLEANING TECHNOLOGIES INC,AIR8300212
199,AIR CYCLE CORP,AIR8306577
200,AIR EQUIPMENT & REPAIR INC,AIR0095250
201,AIR LIQUIDE AMERICA SPECIALTY GASES LLC,VS0000016895
202,AIR MOVING EQUIPMENT INC,WIL7014675
203,Air One Equipment Inc,V00000931102
204,Air Relief Technologies Inc.,VS0000015472
205,Air Science USA LLC,VS0000021126
206,AIRBUS HELICOPTERS INC,VC0000103181
207,AIRCO MECHANICAL LTD,VC0000103374
208,AirDraulic Systems Inc.,V00000926152
209,AIRGAS INC,V00000909396
210,AIRGAS SAFETY INC,AIR7130715
211,AIRGAS SOUTHWEST INC,AIR6120340
212,AIRGAS SPECIALTY PRODUCTS,AIR8317759
213,AIRPORT LIGHTING SYSTEMS INC,AIR0096750
214,Airport Professional Services LLC,VS0000034359
215,AIRTECH ENERGY SYSTEMS INC,AIR7004595
216,Airus Media Inc.,V00000936500
217,AIS Specialty Products Inc.,V00000913573
218,AJ CENTRAL AUSTIN DELIVERY,EAT7154835
219,AKAR INTERNATIONAL INC,TAJ8303458
220,Akina Adderley,V00000900401
221,AKZO NOBEL COATINGS INC,VS0000035461
222,ALAMAR AUSTIN INC,ALA7050600
223,ALAMO AG-CON EQUIPMENT INC,ALA8308203
224,ALAMO AREA COUNCIL OF GOVERNMENTS,ALA8318567
225,ALAMO CONCRETE PRODUCTS LTD,ALA7032770
226,ALAMO DOOR SYSTEMS OF TEXAS INC,ALA8316696
227,ALAMO DOWNTOWN INC,ALA7152490
228,ALAMO GLASS INC,ALA6008335
229,ALAMO IRON WORKS INC,ALA0107000
230,ALAMO SALES CORP,ALA8320292
231,ALAMO SCIENTIFIC INC.,VS0000033825
232,ALAMO TRANSFORMER SUPPLY CO,ALA0284000
233,ALAMO WELDING SUPPLY CO INC,ALA0114500
234,ALAN BROWNLIE,RID8320260
235,ALAN L FREEDMAN,ALF8300928
236,Alan McClintock,V00000922144
237,ALAN P RAPPAPORT,VC0000102386
238,ALARON SUPPLY COMPANY INC,ALA8314577
239,Albert Restaurant Group,V00000935951
240,ALBEV INC.,DUN8305379
241,ALCO FINISHING EQUIPMENT INC.,V00000957444
242,ALCO OPERATIONS,ECO7152585
243,Alejandro Skylar Rose-Garcia,V00000902049
244,Alejandro Vallejo,V00000933830
245,ALERE INC,VS0000018029
246,ALERE NORTH AMERICA INC,VS0000018029
247,Alexa Jade Enterprises LLC,VS0000022193
248,ALEXANDER / RYAN MARINE & SAFETY CO,ALE6043750
249,ALFA LAVAL ASHBROOK SIMON-HARTLEY INC,ASH8317818
250,ALFA LAVAL INC,ALF8302502
251,ALFRED AT YOUR SERVICE LLC,V00000909552
252,Alice Dendinger Alliance Group,VS0000005055
253,ALIEN SCOOTERS,ALI8318134
254,A-LIST EMBROIDERY,ALI8314545
255,A-List Embroidery Inc,V00000958537
256,ALL AMERICAN POLY CORP,ALL7100135
257,ALL AMERICAN SALES CORP,ALL8300287
258,All Business Machines Inc.,V00000904989
259,All In One Poster Company Inc.,VS0000023137
260,All Noise Control,VS0000032778
261,ALL POINTS COMMUNICATIONS OF AUSTIN,ALL8308215
262,ALL POINTS INSPECTION SVCS INC,ALL8308356
263,ALL SERVICE CONTRACTING CORP,ALL8315153
264,ALL SPORTS AMERICA LTD,VS0000025060
265,ALL WEATHER POWERSPORTS,ALL7139100
266,ALL WIRE & CABLE CORP,V00000918553
267,ALLAN BAKER INC,ALL8305442
268,ALLEGIANCE POWER SYSTEMS INC,VC0000102467
269,ALLEN-VANGUARD CORPORATION,MED6120195
270,ALLIANCE MEDICAL INC,ALL7054185
271,ALLIANCE SOLVENTS & CHEMICAL INC,CHE7105145
272,Alliance Specialty Motors Inc,VS0000037932
273,Alliance Wireless Technologies Inc.,VS0000023084
274,Allied 100 LLC,VS0000025689
275,ALLIED ASSOCIATES COMMERCIAL FLOORS INC,ALL8309379
276,Allied Electric Services Inc.,VS0000027122
277,ALLIED ELECTRONICS INC,ALL0139500
278,ALLIED PLASTIC SUPPLY INC,VS0000030838
279,ALLIED PLASTIC SUPPLY LLC,V00000902731
280,ALLIED SALES CO,ALL0141000
281,ALLIED TUBE & CONDUIT CORPORATION,ALL0142000
282,ALLMAND BROS INC,ALL8311689
283,All-Pump and Equip. Co.,VS0000027227
284,ALLTECH ASSOCIATES,ALL7097695
285,Alltech Engineering Corporation,VS0000019119
286,ALLTERRA CENTRAL INC,V00000957905
287,ALL-TEX PIPE & SUPPLY INC,ALL7007290
288,ALM HOLDINGS CORPORATION,V00000957057
289,Alma Irizarry,V00000910019
290,ALMETEK INDUSTRIES INC,VC0000101143
291,Alpha Data Corporation,VS0000006817
292,ALPHA IDENTIFICATION INC,ALP8315571
293,ALPHA LOCK & KEY,ALP8317089
294,Alpha Process Sales,V00000907490
295,Alpha Ready Mix LLC,VS0000005951
296,ALPHACORP,VS0000024494
297,ALPHAGRAPHICS,ALP8315826
298,ALREADY GEAR INC,V00000930425
299,ALS Technologies Inc,VS0000033123
300,ALSTOM GRID INC,ARE8313190
301,Alta Book Center,VS0000013161
302,ALTEC HI LINE LLC,VC0000100870
303,ALTEC INDUSTRIES INC,ALT0162000
304,ALTEX ELECTRONICS L T D,ALT7157390
305,ALTIVIA CHEMICALS LLC,V00000911404
306,ALTIVIA CORPORATION,COA7097320
307,ALTURA COMMUNICATION SOLUTIONS,ALT8322981
308,ALTURA COMMUNICATION SOLUTIONS LLC,ALT8322981
309,ALTURA SOLUTIONS L P,ALT8322417
310,Alvin's Spring Water LLC,VS0000008915
311,AM CONSERVATON GROUP INC,AMC7096345
312,Amador Ramirez,V00000944029
313,Amala Foundation,V00000918316
314,AMAZING EXPOS LLC,V00000917896
315,Amazon Web Services Inc.,V00000926614
316,AMAZON.COM L L C,AMA8310539
317,Ambient Control Service Company Inc.,V00000929507
318,AMC INDUSTRIES,ALA0113500
319,AMC INDUSTRIES INC,ALA0113500
320,AMCAD & GRAPHICS  L P,AMC8315640
321,AMCON CONTROLS INC,VC0000102276
322,Ameda Inc.,V00000917045
323,AMERESCO INC,AME8322152
324,AMERESCO SOLAR-SOLUTIONS INC,SOU7030995
325,AMERICAN ANALOG CO INC,AME0172250
326,AMERICAN ASSN OF STATE HIGHWAY & TRANSPORTATION OF,AME6044400
327,AMERICAN ASSOCIATION OF AIRPORT EXECUTIVES,AME0173250
328,American Business Forms Inc,V00000928875
329,AMERICAN BUSINESS SOLUTIONS,AME8322866
330,AMERICAN COLOR LABS,AME8301168
331,AMERICAN CORPORATE SERVICES,AME8311963
332,AMERICAN CORPORATE SERVICES OF TEXAS,AME8311963
333,AMERICAN DIVERSITY BUSINESS SOLUTIONS,AME7095155
334,AMERICAN EUROCOPTER L L C,AME8310690
335,AMERICAN FASTENERS INC,AME0177250
336,AMERICAN FENCE & SUPPLY CO INC,AME6003920
337,AMERICAN HARLEQUIN CORP,AME8321296
338,AMERICAN HERMETICS INC,AME0193250
339,AMERICAN LEGAL PUBLISHING CORP,AME0201750
340,AMERICAN LIBRARY ASSN,AME0202000
341,American Marine Inc.,VS0000026680
342,AMERICAN MATERIAL HANDLING INC,AME8320809
343,AMERICAN MINORITY BUSINESS FORMS INC,AME7095155
344,American National Red Cross,V00000902608
345,AMERICAN PARKS COMPANY,AME8315999
346,AMERICAN PROPANE INC,AME0214500
347,AMERICAN PUBLIC WORKS ASSN,APW0275500
348,AMERICAN RED CROSS OF CENTRAL,AME0217500
349,AMERICAN RED CROSS OF CENTRAL TEXAS,AME0217500
350,American Re-Fill-It Corp,VS0000030053
351,AMERICAN SECURITY DETECTORS LLC,V00000935705
352,AMERICAN SOCIETY FOR QUALITY,AME6043845
353,AMERICAN SOCIETY FOR TESTING & MATERIALS (ASTM),AST6001780
354,AMERICAN SOCIETY OF CIVIL ENGINEERS,AME0219000
355,AMERICAN SOCIETY OF COMPOSERS AUTHORS & PUBLISHERS,AME8308915
356,American Spot Cooling Inc.,V00000945077
357,American Tile Supply Inc. an Acme Brick Co.,V00000902589
358,American Tire Distributors,VS0000019602
359,AMERICAN TIRE DISTRIBUTORS,VS0000019602
360,AMERICAN TRAFFIC SAFETY MATERIALS INC,AME7106420
361,AMERICAN WATERCARE INC,VS0000016375
362,AMERICAN WIRE GROUP,AME8302900
363,AMERICAN YOUTHWORKS,AME0198500
364,AMERICANS FOR THE ARTS,AME7136935
365,AMERICAS COMPUTER CO,BAR0580250
366,AMERIGAS PROPANE L P,AME7134675
367,AMERIPIPE SUPPLY CO,AME8312397
368,AMES HOLDING CORPORATION,AME8312912
369,AMES MIRROR & GLASS,AME8321581
370,Ames Mirror & Glass LLC,V00000915479
371,AMIGOS LIBRARY SVCS,AMI0232250
372,Ampac Holdings LLC,VS0000028010
373,AMPAC SECURITY PRODUCTS LLC,VC0000101076
374,AMPERGEN,VC0000102433
375,AMTEC LESS-LETHAL SYSTEMS INC,V00000905753
376,AMTECH COMPUTER SYSTEMS INC,AMT7080450
377,ANA Laboratories Inc.,VS0000034368
378,ANACON INC,ANA7158085
379,ANACONDA SPORTS INC,ANA8308736
380,ANALYTICAL SERVICES INC,ANA7043515
381,Analytics8 LLC,V00000933995
382,ANCHOR SCIENTIFIC INC,ANC7133950
383,ANCLOTE FIRE & SAFETY INC,ANC8307730
384,ANDELA TOOL & MACHINE INC,AND8307453
385,ANDEMERE INC,OAK7037735
386,Andersen Schoel Office Interiors LP,V00000905944
387,ANDERSON MACHINERY AUSTIN INC,AND8313576
388,ANDERSON SHELVING & INDUSTRIAL SALES,VC0000102199
389,ANDERSON SHELVING & INDUSTRIAL SALES LLC,VC0000102199
390,ANDON SPECIALTIES,AND6017040
391,Andrea Mazzenga,V00000949665
392,Andrew D Hamel,V00000919991
393,Andrew Gallagher Gluesenkamp,VS0000003701
394,Andrew Steven Pogue,VS0000026975
395,Andrew Tijerina,V00000938375
396,Andria Bennett,V00000926570
397,ANDRITZ SEPARATION INC,AND8313128
398,ANIMAL CARE EQUIPMENT & SERVICES INC,ANI7036265
399,ANIMAL CARE EQUIPMENT & SERVICES LLC,ANI7036265
400,ANIMAL HEALTH INTERNATIONAL INC,V00000908178
401,Animatic Media Inc.,V00000946597
402,ANIXTER INC,ANI0261000
403,ANN WILSON CONSTRUCTION CO,ANN7051240
404,Anna M. Breed,VS0000027365
405,Anna P Marzett,V00000920288
406,ANRIGE INC,CLE8316022
407,ANSELL HEALTH CARE PRODUCTS,ANS0262250
408,Ansell USA Inc.,V00000942976
409,Anthony Clarence Watkins II,V00000919517
410,Anthony J Leonti,V00000957705
411,Anthony Quinn Ortiz,V00000900267
412,Anti Industries Inc,V00000920831
413,Antone's Nightclub LLC,V00000946596
414,Antonio F Delgado,V00000957430
415,AOT Public Safety Corporation,VS0000033800
416,APAC-TEXAS INC,VC0000102792
417,Apex Pinnacle Corp.,V00000924314
418,APFELBAUM INDUSTRIAL INC,APF8321696
419,API Productions LLC,V00000917440
420,API Technologies Corporation,V00000920521
421,Apogee Elements,VS0000021627
422,Apollo Endosurgery Inc.,VS0000036093
423,APOTHECUS PHARMACEUTICAL CORP,APO7019165
424,APP-ADTECH PROMOTIONAL PRODUCTS INC,ADT6120335
425,APPLE ANNIE'S INC,APP6024140
426,APPLE INC,APP0269500
427,Applied Biomathematics,VS0000036325
428,APPLIED BIOSYSTEMS,APP8315822
429,APPLIED BIOSYSTEMS LLC,APP8315822
430,APPLIED CONCEPTS INC,APP0271725
431,APPLIED DATA RESOURCES INC,APP7084245
432,APPLIED FIELD DATA SYSTEMS INC,APP7067595
433,APPLIED INDUSTRIAL TECHNOLOGIES,BEA0622750
434,APPLIED INDUSTRIAL TECHNOLOGIES INC,BEA0622750
435,APPLIED NETWORK SECURITY,APP8310106
436,Applied Response Solutions LLC,VS0000009027
437,APPLIED SYSTEMS ENGINEERING INC,APP7034900
438,APPLIED TOOL & SUPPLY L P,APP8315604
439,Approved Networks Inc,V00000947237
440,APRISA TECHNOLOGY LLC,VS0000027474
441,APS of Georgetown LLC,V00000958333
442,APT COMMUNICATIONS INC,APT8319935
443,Aqua Metric Sales Company,VS0000004785
444,Aquafin Inc.,V00000932245
445,AQUAM AQUATIC SPECIALIST INC,AQU7163390
446,AQUASOL CONTROLLERS INC,AQU8305320
447,AQUATIC ECO-SYSTEMS INC,AQU7147145
448,Aquaveo LLC,V00000928126
449,AQUENT L L C,AQU8305545
450,AQUENT LLC,AQU8305545
451,AR CUSTOM PAINT & BODY SHOP,ARC8313639
452,ARAMARK REFRESHMENT SERVICES,ARA7039260
453,ARAMARK SPORTS & ENTERTAINMENT,ARA8313155
454,ARAMARK UNIFORM SERVICES INC,ARA0282750
455,ARAMSCO INC,ARA8321230
456,ARBITER SYSTEMS INC,ARB7035895
457,ArborGen Inc.,V00000910340
458,ARC Government Solutions Inc.,AUS0481500
459,Arcadia Chair Company,VS0000031600
460,ARCH CHEMICALS INC,VS0000016202
461,ARCHITECTURAL COMPUTER SERVICES INC,ARC7124590
462,ARCHITECTURAL DIVISION 8,VC0000100956
463,ARCHITECTURAL DIVISION 8 INC,VC0000100956
464,Architectural Energy Corporation,V00000908488
465,ARCMATE MANUFACTURING CORP,ARC8314782
466,AREVA T&D INC,ARE8313190
467,Argon Office Supplies Inc.,VS0000015778
468,ARIES INDUSTRIES INC,ARI7107815
469,ARINC INC,ARI7160335
470,AristaTek Inc.,V00000942097
471,ARMADA SYSTEMS INC,ARM7133535
472,ARMADILLO CLAY & SUPPLIES,ARM0293750
473,Armadillo Photo Supply Inc.,VS0000016516
474,Armside Industries LLC,V00000932358
475,Armstrong Display Concepts Inc.,VS0000008499
476,ARMSTRONG MEDICAL INDUSTRIES INC,ARM0298750
477,ARMSTRONG WATER TECHNOLOGY INC,ARM8318513
478,ARMSTRONG'S CRICKET FARM,ARM7078270
479,ARNOLD OIL COMPANY OF AUSTIN L P,ARN8320207
480,ARNOLD OIL COMPANY OF AUSTIN LP,VC0000101694
481,ARNOLD OIL COMPANY OF AUSTIN LP,VC0000101695
482,Arnold Patterson Wells,V00000900945
483,Arpeggio Grill,VS0000026176
484,ARRIBA SCIENTIFIC INC,ARR8308520
485,ARROW INTERNATIONAL INC,V00000926045
486,ARROW MAGNOLIA INTERNATIONAL,ARR6121395
487,ARROW MAGNOLIA INTERNATIONAL INC,ARR6121395
488,ARROW MIRROR & GLASS AUSTIN INC.,VS0000006757
489,ARROWHEAD SCIENTIFIC INC,ARR8309802
490,Art & Cultural Education Materials Inc,VS0000019606
491,ART FOR YOUR HEAD,ART7122975
492,ART HALL AWARDS,ART0310750
493,ART MASTERS INC,ART8305063
494,Art Seen LLC,VS0000034014
495,Arteche USA Inc.,V00000936984
496,ARTEL INC,ART7168080
497,ARTHUR FLUID SYSTEM TECHNOLOGIES,ART8303973
498,ARTHUR L BELL,KIL7125195
499,ARTHUR W. BELL,KIL7125195
500,Artservco LLC,V00000942056
501,Artz Inc,VS0000032847
502,ARVID E. LARSON JR,SPO8309621
503,Arvis Green,VS0000038149
504,ASC INC,AUS8321272
505,Ascendant Strategy Management Group,V00000935280
506,ASCO Services Inc,VS0000001109
507,ASCUBA VENTURE INC,VC0000102941
508,ASERO ENTERPRISES INC,ASE7002695
509,ASERO Steel Sales Inc,V00000901035
510,ASHBROOK SIMON-HARTLEY,ASH8317818
511,ASHBROOK SIMON-HARTLEY OPERATIONS LP,ASH8317818
512,Ashley Austin,V00000944614
513,ASHLEY FURNITURE HOMESTORE,ASH8323122
514,Ashmoore Inc.,V00000936616
515,ASHWORTH INC,ASH7139180
516,ASI COMPUTER TECHNOLOGIES INC,ASI8317350
517,ASSETWORKS INC,VS0000018573
518,ASSETWORKS LLC,VS0000018573
519,ASSOCIATED BAG CO,ASS0327000
520,ASSOCIATED SUPPLY CO INC,VC0000102700
521,ASSOCIATED TIME & PARKING,ASS8302596
522,Associated Time Instruments Co. Inc.,ASS8302596
523,ASSOCIATES MOVE & INSTALL LLC,VC0000101847
524,ASW GLOBAL LLC,GLO8316440
525,AT&T,SOU4333750
526,AT&T DATACOMM INC,VS0000011348
527,AT&T MOBILITY II LLC,CIN8318906
528,AT&T MOBILITY LLC,CIN8318906
529,AT&T MOBILITY NATIONAL ACCOUNTS LLC,NEW8317073
530,ATCO INTERNATIONAL,ATC7057905
531,ATCO MANUFACTURING COMPANY,ATC7057905
532,ATD AMERICA INC,ADI0059500
533,ATD AMERICAN CO,ATD0337250
534,ATELIER WONG PHOTOGRAPHY,ATE8322902
535,Atera Prime Inc.,V00000940042
536,ATEX WHOLESALE SUPPLY,ATE7074140
537,ATHENS TECHNICAL SPECIALISTS Inc,ATH8300013
538,Atkore International Inc.,V00000957151
539,Atlantic Aviation Inc,VS0000014484
540,Atlantic Biologicals Corp,V00000924655
541,Atlantic Digital Inc.,V00000925235
542,ATLANTIC DIVING SUPPLY INC,ADS8316610
543,ATLANTIC SIGNAL L L C,ATL8320739
544,ATLAS COPCO COMPTEC LLC,ATL8316779
545,Atlas Inspection Technologies LLC,V00000901706
546,ATLAS MEDICAL SUPPLY INC,ATL8306948
547,ATLAS PEN & PENCIL CORP,ATL0344000
548,Atomic Music Group LLC,V00000940119
549,Auburn Moon Agency,VS0000022832
550,AUDIO ELECTRONICS INC,AUD0374750
551,Audio Electronics Inc.,V00000908685
552,AUDIO FIDELITY COMMUNICATIONS CORPORATION,WHI8306420
553,Audio FX,VS0000025223
554,Audio Resource Group Inc,V00000909033
555,AUDIO VISUAL INNOVATIONS INC,AUD8304186
556,AUDIO VISUAL SERVICES GROUP INC,PRE7166755
557,Audley Logan,VS0000027167
558,August Industries Inc.,VS0000032872
559,AURA SYSTEMS INC,AUR8315373
560,Auralog Inc.,VS0000023149
561,"AUSTECH SHEET METAL & STAINLESS STEEL FABRICATING ",AUS6005400
562,AUSTEX AUTO PARTS INC,AUS7163775
563,AUSTEX DEVELOPMENT I LTD,AUS8321818
564,Austex Drilling & Sawing Inc.,VS0000005707
565,AUS-TEX DUPLICATORS INC,AUS0496250
566,AUSTEX OFFICE PRODUCTS INC,AUS0495750
567,AUS-TEX PRINTING & MAILING INC,AUS0496250
568,AUS-TEX SANDBLASTING & COATINGS INC,AUS7045715
569,Aus-Tex Towing & Recovery LLC,VS0000015678
570,AUSTIN ACOUSTICAL MATERIALS INC,AUS0377250
571,AUSTIN AD GROUP Inc.,V00000941685
572,Austin AIB One LLC,VS0000014657
573,Austin Air and Hydraulics LLC,V00000930193
574,AUSTIN ARBORIST COMPANY,VC0000102095
